date,historic (training),actual (test),ARIMA (mean) prediction,ARIMA (upper bound),ARIMA (lower bound)
2024-07-01,4.24,,,,
2024-07-02,2.1599,,,,
2024-07-03,1.95,,,,
2024-07-05,1.72,,,,
2024-07-08,1.57,,,,
2024-07-09,1.55,,,,
2024-07-10,1.61,,,,
2024-07-11,1.55,,,,
2024-07-12,2.7,,,,
2024-07-15,2.86,,,,
2024-07-16,2.78,,,,
2024-07-17,2.6,,,,
2024-07-18,2.3,,,,
2024-07-19,2.12,,,,
2024-07-22,2.09,,,,
2024-07-23,2.18,,,,
2024-07-24,2.31,,,,
2024-07-25,2.57,,,,
2024-07-26,2.81,,,,
2024-07-29,2.88,,,,
2024-07-30,2.87,,,,
2024-07-31,2.8,,,,
2024-08-01,2.91,,,,
2024-08-02,3.7,,,,
2024-08-05,3.99,,,,
2024-08-06,3.92,,,,
2024-08-07,3.7,,,,
2024-08-08,3.93,,,,
2024-08-09,4.27,,,,
2024-08-12,5.76,,,,
2024-08-13,5.05,,,,
2024-08-14,4.59,,,,
2024-08-15,4.53,,,,
2024-08-16,5.08,,,,
2024-08-19,4.88,,,,
2024-08-20,4.91,,,,
2024-08-21,4.87,,,,
2024-08-22,5.01,,,,
2024-08-23,5.17,,,,
2024-08-26,5.07,,,,
2024-08-27,5.16,,,,
2024-08-28,5.19,,,,
2024-08-29,5.22,,,,
2024-08-30,5.15,,,,
2024-09-03,4.98,,,,
2024-09-04,4.96,,,,
2024-09-05,4.76,,,,
2024-09-06,4.69,,,,
2024-09-09,4.2,,,,
2024-09-10,3.99,,,,
2024-09-11,3.38,,,,
2024-09-12,3.1,,,,
2024-09-13,2.78,,,,
2024-09-16,2.7,,,,
2024-09-17,3.6,,,,
2024-09-18,3.47,,,,
2024-09-19,3.11,,,,
2024-09-20,2.93,,,,
2024-09-23,2.97,,,,
2024-09-24,2.83,,,,
2024-09-25,2.83,,,,
2024-09-26,2.85,,,,
2024-09-27,2.71,,,,
2024-09-30,2.71,,,,
2024-10-01,2.46,,,,
2024-10-02,2.8,,,,
2024-10-03,2.58,,,,
2024-10-04,2.51,,,,
2024-10-07,2.43,,,,
2024-10-08,2.65,,,,
2024-10-09,2.79,,,,
2024-10-10,2.695,,,,
2024-10-11,2.79,,,,
2024-10-14,2.76,,,,
2024-10-15,2.7,,,,
2024-10-16,2.6,,,,
2024-10-17,2.7,,,,
2024-10-18,2.698162,,,,
2024-10-21,2.54,,,,
2024-10-22,2.53,,,,
2024-10-23,2.46,,,,
2024-10-24,2.395,,,,
2024-10-25,2.5,,,,
2024-10-28,2.45,,,,
2024-10-29,2.53,,,,
2024-10-30,2.51,,,,
2024-10-31,2.53,,,,
2024-11-01,2.561,,,,
2024-11-04,2.5,,,,
2024-11-05,2.49,,,,
2024-11-06,2.61,,,,
2024-11-07,2.65,,,,
2024-11-08,2.9124,,,,
2024-11-11,3.23,,,,
2024-11-12,3.12,,,,
2024-11-13,2.91,,,,
2024-11-14,3.34,,,,
2024-11-15,3.04,,,,
2024-11-18,3.08,,,,
2024-11-19,3.09,,,,
2024-11-20,2.95,,,,
2024-11-21,2.76,,,,
2024-11-22,2.805,,,,
2024-11-25,2.9,,,,
2024-11-26,5.41,,,,
2024-11-27,4.31,,,,
2024-11-29,4.17,,,,
2024-12-02,3.7,,,,
2024-12-03,3.51,,,,
2024-12-04,3.79,,,,
2024-12-05,3.35,,,,
2024-12-06,3.13,,,,
2024-12-09,3.17,,,,
2024-12-10,3.04,,,,
2024-12-11,3.16,,,,
2024-12-12,3.29,,,,
2024-12-13,3.31,,,,
2024-12-16,3.5,,,,
2024-12-17,3.4,,,,
2024-12-18,3.5,,,,
2024-12-19,3.57,,,,
2024-12-20,3.38,,,,
2024-12-23,3.1,,,,
2024-12-24,3.28,,,,
2024-12-26,3.86,,,,
2024-12-27,3.76,,,,
2024-12-30,3.44,,,,
2024-12-31,3.38,,,,
2025-01-02,3.49,,,,
2025-01-03,3.7,,,,
2025-01-06,3.62,,,,
2025-01-07,3.46,,,,
2025-01-08,3.27,,,,
2025-01-10,3.37,,,,
2025-01-13,3.47,,,,
2025-01-14,3.64,,,,
2025-01-15,3.58,,,,
2025-01-16,3.59,,,,
2025-01-17,3.74,,,,
2025-01-21,3.74,,,,
2025-01-22,3.54,,,,
2025-01-23,3.5,,,,
2025-01-24,3.42,,,,
2025-01-27,3.25,,,,
2025-01-28,3.45,,,,
2025-01-29,3.27,,,,
2025-01-30,3.29,,,,
2025-01-31,3.2462,,,,
2025-02-03,3.15,,,,
2025-02-04,3.19,,,,
2025-02-05,2.96,,,,
2025-02-06,3.07,,,,
2025-02-07,3.06,,,,
2025-02-10,2.91,,,,
2025-02-11,2.8,,,,
2025-02-12,2.88,,,,
2025-02-13,3.12,,,,
2025-02-14,3.0,,,,
2025-02-18,2.904,,,,
2025-02-19,3.03,,,,
2025-02-20,3.18,,,,
2025-02-21,2.94,,,,
2025-02-24,2.86,,,,
2025-02-25,2.805,,,,
2025-02-26,2.85,,,,
2025-02-27,3.03,,,,
2025-02-28,2.98,,,,
2025-03-03,2.91,,,,
2025-03-04,2.85,,,,
2025-03-05,2.79,,,,
2025-03-06,2.84,,,,
2025-03-07,2.81,,,,
2025-03-10,2.8,,,,
2025-03-11,2.79,,,,
2025-03-12,2.8,,,,
2025-03-13,2.94,,,,
2025-03-14,2.97,,,,
2025-03-17,2.99,,,,
2025-03-18,3.026,,,,
2025-03-19,3.06,,,,
2025-03-20,3.06,,,,
2025-03-21,3.0801,,,,
2025-03-24,2.95,,,,
2025-03-25,3.02,,,,
2025-03-26,3.01,,,,
2025-03-27,3.045,,,,
2025-03-28,3.05,,,,
2025-03-31,2.93,,,,
2025-04-01,2.92,,,,
2025-04-02,2.9219,,,,
2025-04-03,2.8768,,,,
2025-04-04,2.78,,,,
2025-04-07,2.595,,,,
2025-04-08,2.6,,,,
2025-04-09,2.6439,,,,
2025-04-10,2.75,,,,
2025-04-11,2.8,,,,
2025-04-14,2.83,,,,
2025-04-15,2.7,,,,
2025-04-16,2.6765,,,,
2025-04-17,2.75,,,,
2025-04-21,2.835,,,,
2025-04-22,2.81,,,,
2025-04-23,2.815,,,,
2025-04-24,2.7713,,,,
2025-04-25,2.79,,,,
2025-04-28,2.8856,,,,
2025-04-29,2.9,,,,
2025-04-30,2.68,,,,
2025-05-01,2.82,,,,
2025-05-02,3.05,,,,
2025-05-05,3.045,,,,
2025-05-06,2.9737,,,,
2025-05-07,3.01,,,,
2025-05-08,3.02,,,,
2025-05-09,3.0202,,,,
2025-05-12,3.25,,,,
2025-05-13,3.52,,,,
2025-05-14,3.48,,,,
2025-05-15,3.5663,,,,
2025-05-16,3.551,,,,
2025-05-19,3.45,,,,
2025-05-20,3.45,,,,
2025-05-21,3.475,,,,
2025-05-22,3.4101,,,,
2025-05-23,3.4025,,,,
2025-05-27,3.3,,,,
2025-05-28,3.44,,,,
2025-05-29,3.46,,,,
2025-05-30,3.53,,,,
2025-06-02,3.47,,,,
2025-06-03,3.42,,,,
2025-06-04,3.365,,,,
2025-06-05,3.3,,,,
2025-06-06,3.412,,,,
2025-06-09,3.4046,,,,
2025-06-10,3.3,,,,
2025-06-11,3.41,,,,
2025-06-12,3.73,,,,
2025-06-13,3.45,,,,
2025-06-16,3.75,,,,
2025-06-17,3.565,,,,
2025-06-18,3.6999,,,,
2025-06-20,3.73,,,,
2025-06-23,3.65,,,,
2025-06-24,3.73,,,,
2025-06-25,3.65,,,,
2025-06-26,3.71,,,,
2025-06-27,3.7,,,,
2025-06-30,3.7,,,,
2025-07-01,3.6,,,,
2025-07-02,3.6,,,,
2025-07-03,3.6943,,,,
2025-07-07,3.6,,,,
2025-07-08,3.6,,,,
2025-07-09,3.65,,,,
2025-07-10,3.645,,,,
2025-07-11,3.65,,,,
2025-07-14,3.6,,,,
2025-07-15,3.6961,,,,
2025-07-16,3.7001,,,,
2025-07-17,3.7,,,,
2025-07-18,3.7,,,,
2025-07-21,3.59,,,,
2025-07-22,3.62,,,,
2025-07-23,3.59,,,,
2025-07-24,3.58,,,,
2025-07-25,3.6591,,,,
2025-07-28,3.9,,,,
2025-07-29,4.26,,,,
2025-07-30,5.01,,,,
2025-07-31,5.67,,,,
2025-08-01,6.1,,,,
2025-08-04,5.3,,,,
2025-08-05,4.62,,,,
2025-08-06,4.83,,,,
2025-08-07,4.82,,,,
2025-08-08,4.71,,,,
2025-08-11,5.0,,,,
2025-08-12,4.9384,,,,
2025-08-13,5.24,,,,
2025-08-14,5.0,,,,
2025-08-15,4.9,,,,
2025-08-18,5.1507,,,,
2025-08-19,4.97,,,,
2025-08-20,4.9499,,,,
2025-08-21,5.0757,,,,
2025-08-22,5.01,,,,
2025-08-25,5.1163,,,,
2025-08-26,5.3,,,,
2025-08-27,5.21,,,,
2025-08-28,5.255,,,,
2025-08-29,5.64,,,,
2025-09-02,5.7997,,,,
2025-09-03,6.18,,,,
2025-09-04,5.38,,,,
2025-09-05,5.71,,,,
2025-09-08,5.42,,,,
2025-09-09,5.1321,,,,
2025-09-10,5.34,,,,
2025-09-11,5.89,,,,
2025-09-12,5.89,,,,
2025-09-15,5.915,,,,
2025-09-16,5.9413,,,,
2025-09-17,5.92,,,,
2025-09-18,5.7355,,,,
2025-09-19,5.775,,,,
2025-09-22,5.96,,,,
2025-09-23,5.69,,,,
2025-09-24,5.85,,,,
2025-09-25,5.93,,,,
2025-09-26,6.03,,,,
2025-09-29,5.785,,,,
2025-09-30,5.7666,,,,
2025-10-01,,5.86,5.789226134711927,6.075742483200003,5.502709786223852
2025-10-02,,5.99,5.823984065087915,6.217088076163325,5.430880054012505
2025-10-03,,6.11,5.751468473788973,6.219958560133636,5.282978387444311
2025-10-06,,6.65,5.825160812490033,6.336790513535313,5.313531111444753
2025-10-07,,6.83,5.914515482192853,6.4595492531039005,5.369481711281806
2025-10-08,,6.84,5.917170808093401,6.500785247232208,5.333556368954594
2025-10-09,,7.09,6.0146202155814645,6.632889253437345,5.396351177725584
2025-10-10,,7.05,6.09100460916919,6.73129190956187,5.450717308776509
2025-10-13,,7.38,6.070397927336769,6.738515874670266,5.402279980003272
2025-10-14,,7.82,6.049642743868407,6.746105585727872,5.353179902008943
2025-10-15,,7.97,6.102570862132692,6.831859546106712,5.373282178158672
2025-10-16,,7.94,6.110273551369259,6.886540235655029,5.334006867083489
2025-10-17,,7.63,6.078503979641269,6.895249251226377,5.261758708056161
2025-10-20,,7.75,6.096593626526781,6.950206407450197,5.242980845603365
2025-10-21,,7.38,6.087936088434441,6.978310669031433,5.197561507837449
2025-10-22,,7.27,6.04576635702759,6.9712615721978555,5.120271141857325
2025-10-23,,7.3,6.033267370211982,6.9918138949024655,5.074720845521499
2025-10-24,,7.14,6.05199966491219,7.040140793851773,5.0638585359726065
2025-10-27,,7.11,6.011400390076033,7.026844772059929,4.995956008092136
2025-10-28,,7.2,5.992848689242047,7.033600420235965,4.952096958248129
2025-10-29,,7.15,6.023552001620911,7.088127035296715,4.958976967945107
2025-10-30,,6.78,6.0374538187307,7.125327070981394,4.949580566480007
2025-10-31,,7.45,6.035197936754166,7.144156823087562,4.92623905042077
2025-11-03,,7.22,6.0605866295401984,7.187072889863101,4.934100369217296
2025-11-04,,6.86,6.089574987150379,7.234133313869095,4.945016660431663
2025-11-05,,7.0,6.08969898052007,7.253063182804467,4.926334778235673
2025-11-06,,6.83,6.120262140743288,7.302267638903569,4.938256642583006
2025-11-07,,6.89,6.1553187919712595,7.356100716767917,4.954536867174602
2025-11-10,,7.29,6.161791649471649,7.381530241823936,4.942053057119362
2025-11-11,,7.05,6.162665062228744,7.401664033131453,4.9236660913260355
2025-11-12,,7.015,6.1899645343573155,7.448895677633313,4.931033391081318
2025-11-13,,7.09,6.200239837191425,7.48033670953088,4.920142964851971
2025-11-14,,6.84,6.191448528737869,7.492371288553129,4.8905257689226085
2025-11-17,,6.61,6.198592897026263,7.519638598824425,4.8775471952281
2025-11-18,,6.5,6.200526577158223,7.541850913351092,4.859202240965355
2025-11-19,,6.53,6.190993843977305,7.55318925998088,4.828798427973729
2025-11-20,,6.405,6.190498482744413,7.5728352385676185,4.808161726921208
2025-11-21,,6.29,6.202449538851887,7.604079002109108,4.800820075594666
2025-11-24,,6.5,6.194402179327572,7.614663427551669,4.774140931103474
2025-11-25,,6.44,6.1904322596583174,7.628422601743393,4.7524419175732415
2025-11-26,,6.28,6.203674080000864,7.659008177520834,4.7483399824808945
2025-11-28,,6.18,6.213526278698835,7.685936262867397,4.741116294530272
2025-12-01,,6.48,6.216039435156032,7.704893073610348,4.727185796701717
2025-12-02,,6.27,6.228481577771294,7.732865099107985,4.724098056434603
2025-12-03,,6.39,6.2445194059657885,7.764375316338386,4.724663495593191
2025-12-04,,6.78,6.25049916546066,7.7859588420375365,4.715039488883783
2025-12-05,,7.1,6.265406899080492,7.816323979461837,4.714489818699148
2025-12-08,,6.74,6.2830958616943064,7.84928628099118,4.716905442397433
2025-12-09,,6.54,6.291303125894544,7.872791589302673,4.709814662486415
2025-12-10,,6.471,6.2961108592202635,7.892939423665759,4.699282294774768
2025-12-11,,6.45,6.3104789506978545,7.922776828719721,4.698181072675988
2025-12-12,,6.37,6.3200674458595945,7.948159967449808,4.691974924269381
2025-12-15,,6.42,6.322160632215674,7.965929273333369,4.678391991097978
2025-12-16,,6.04,6.328920090325985,7.988134076767124,4.669706103884846
2025-12-17,,6.19,6.335052699404768,8.009699869597299,4.6604055292122375
2025-12-18,,6.39,6.336675801628335,8.026868199807376,4.6464834034492934
2025-12-19,,6.25,6.340437478628871,8.04594724516213,4.634927712095612
2025-12-22,,6.2,6.349041431097469,8.06956820696696,4.6285146552279794
2025-12-23,,6.36,6.351145945011735,8.086452549202734,4.615839340820736
2025-12-24,,6.05,6.353835192374822,8.10363764700007,4.604032737749574
2025-12-26,,6.04,6.362643992067609,8.12675089635428,4.598537087780939
2025-12-29,,6.06,6.3711108453983645,8.149373322260622,4.5928483685361075
2025-12-30,,6.07,6.37648393970978,8.168657444117546,4.584310435302013
2025-12-31,,5.86,6.38508974182749,8.190829847724324,4.579349635930657
2026-01-02,,5.96,6.395614081173358,8.214830018474466,4.57639814387225
2026-01-05,,5.8,6.402776559698731,8.23545120152302,4.570101917874442
2026-01-06,,5.76,6.412467197727972,8.258502300082654,4.56643209537329
2026-01-07,,5.95,6.423596889925786,8.28287404303779,4.564319736813783
2026-01-08,,5.81,6.431744893044497,8.304221268459353,4.559268517629641
2026-01-09,,6.02,6.438230549600142,8.323878204513784,4.5525828946865
2026-01-12,,6.07,6.448068114984368,8.34687837309064,4.549257856878096
2026-01-13,,6.19,6.456616070155013,8.368636250084771,4.544595890225255
2026-01-14,,6.225,6.46227445434292,8.387438265236447,4.537110643449391
2026-01-15,,6.17,6.4692038523243784,8.407404390617799,4.531003314030958
2026-01-16,,6.28,6.4763061053758175,8.427498175991307,4.525114034760328
2026-01-20,,6.8,6.481754211855846,8.445938294187265,4.517570129524428
2026-01-21,,7.12,6.487592797178303,8.464664990180172,4.510520604176435
2026-01-22,,7.15,6.495234979207019,8.485061301541853,4.505408656872186
2026-01-23,,7.04,6.500811178568256,8.50327893155046,4.498343425586052
