,QC Solar,Jinko Solar,Array Technologies,Canadian Solar Inc,Daqo New Energy Corp.,Enphase Energy,First Solar,FTC Solar,P2 Solar Inc,Sunrun,Shoals Technologies,TOYO Co.
QC Solar,1.0000000000002023,0.4718082578723943,0.3067137307922945,0.3877192143166748,0.5391465783216306,0.28610841956448535,0.4467643536781214,0.3212470965158005,0.3399671323516598,0.3874915149340393,0.30472090672720253,0.3509350281114968
Jinko Solar,0.47180825787253133,0.9999999999999736,0.4667200771759306,0.23058475206942422,0.3580382006595009,0.8235267954708693,0.26229809640500235,0.4581759614733025,0.5513884243997801,0.35661844016096667,0.39574954769375853,0.4191845862893652
Array Technologies,0.30671373079248404,0.4667200771758226,0.99999999999999,0.5321519299952493,0.6805027238380776,0.577836964642367,0.7075106641707462,0.7664609750378075,0.31582642961138496,0.7987596738607892,0.809459891335583,0.7398018553898602
Canadian Solar Inc,0.3877192143168831,0.230584752069487,0.5321519299952487,1.0000000000000053,0.806631379389122,0.5666063489065671,0.8361737318239107,0.8234908735866825,0.29630533930856506,0.7528027997499593,0.7803984411409389,0.7428809303322166
Daqo New Energy Corp.,0.5391465783216368,0.35803820065951314,0.6805027238380872,0.8066313793891218,0.9999999999999895,0.636477679488679,0.8477404752561416,0.8920742782356617,0.3158308343440645,0.8964781141643741,0.8610250536959657,0.8858706658652727
Enphase Energy,0.28610841956466737,0.8235267954708729,0.5778369646424171,0.5666063489065924,0.6364776794886806,1.000000000000003,0.560486036801156,0.7273612182007914,0.48462572477557503,0.6533488554624194,0.6633781897518606,0.7365568659966196
First Solar,0.4467643536782286,0.2622980964050477,0.70751066417069,0.8361737318239,0.8477404752561116,0.5604860368011737,0.9999999999999971,0.88874664216279,0.42862974625777767,0.9275382346809953,0.8968596624697505,0.8811932885279335
FTC Solar,0.3212470965158345,0.45817596147330664,0.7664609750377972,0.8234908735866825,0.8920742782356594,0.727361218200799,0.8887466421627944,0.9999999999999966,0.30643066219504206,0.9313415466566243,0.9490814480602633,0.9405592918560283
P2 Solar Inc,0.3399671323512286,0.5513884243997141,0.3158264296112494,0.29630533930851954,0.31583083434398795,0.48462572477550747,0.428629746257669,0.30643066219496695,0.9999999999999958,0.33455691942544097,0.32269223785632445,0.2850227380217812
Sunrun,0.38749151493407896,0.3566184401609181,0.7987596738607706,0.7528027997499714,0.8964781141643652,0.6533488554624222,0.9275382346809892,0.9313415466566218,0.3345569194255286,0.9999999999999948,0.9447249858641942,0.9443503008958776
Shoals Technologies,0.3047209067274733,0.39574954769379667,0.8094598913355706,0.7803984411409394,0.8610250536959481,0.6633781897518517,0.8968596624697404,0.9490814480602628,0.32269223785641304,0.9447249858641963,0.9999999999999991,0.9227228072382139
TOYO Co.,0.35093502811160054,0.4191845862893173,0.7398018553898459,0.7428809303322166,0.8858706658652586,0.7365568659966218,0.8811932885279328,0.9405592918560254,0.2850227380218845,0.9443503008958677,0.9227228072382108,0.9999999999999925
